SR70;Tarifní název;NÁZEV35;NÁZEV20;NÁZEV12;NÁZEV7;NÁZEV3;ZKRATKA;Km poloha;Kvalifikátor;Kvalifikátor-Popis;Stav;Stav-Popis;Obsazení;TUDU;DDR;DDR-Popis;OOØ;PO;P0-Popis;OØ;OØ-Popis;Vlastník;Provozovatel;Kraj;Kraj-Popis;JTSK Y;JTSK X;GPS X;GPS Y;Dopr. uzel;Název ZDD;Podmínky ISC-Kod;Podmínky ISC-Popis
310029;Frıdek-Místek (BUS);Frıdek-Místek (BUS);Frıdek-Místek (BUS);-;-;-;-;?;65;Zastávka náhradní autobusové dopravy;1;Aktivní;9;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;ÈD;ÈD;810;Moravskoslezskı;-466896,3;-1119467,6;"E18°21'17,842""";"N49°40'40,768""";;;;
312850;Døevnovice zast.ÈSAD;Døevnovice zast.ÈSAD;Døevnovice zast.ÈSAD;-;-;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100560;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;266/94Sb§3;710;Olomouckı;-557211,468;-1150123,595;"E17°9'8,760""";"N49°19'42,398""";;;1;Plné informování
313155;Morkovice námìstí;Morkovice námìstí;Morkovice námìstí;-;-;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100560;100487;Valašské Meziøíèí;-;nezadaná;266/94Sb§3;266/94Sb§3;720;Zlínskı;-554296,147;-1158523,491;"E17°12'13,901""";"N49°15'21,272""";;;1;Plné informování
313254;Osíèany zast.ÈSAD;Osíèany zast.ÈSAD;Osíèany zast.ÈSAD;-;-;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100560;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;266/94Sb§3;710;Olomouckı;-556436,398;-1155529,214;"E17°10'13,757""";"N49°16'50,800""";;;1;Plné informování
313353;Tìšice (zast.ÈSAD);Tìšice (z.ÈSAD);Tìšice (z.ÈSAD);-;-;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100560;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;266/94Sb§3;710;Olomouckı;-556949,503;-1150993,031;"E17°9'25,987""";"N49°19'15,245""";;;;
313452;Tištín (zast.ÈSAD);Tištín (z.ÈSAD);Tištín (z.ÈSAD);-;-;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100560;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;266/94Sb§3;0;nezadanı;-556466,18;-1152010,397;"E17°9'54,849""";"N49°18'44,044""";;;;
313551;Pornice zast.ÈSAD;Pornice zast.ÈSAD;Pornice zast.ÈSAD;-;-;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100560;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;266/94Sb§3;0;nezadanı;-555000,531;-1157511,604;"E17°11'34,242""";"N49°15'51,592""";;;1;Plné informování
313650;Uhøice u Kromìøíe zast. ÈSAD;Uhøice u Kromìøíe zast. ÈSAD;Uhøice u Kr.z.ÈSAD;-;-;-;-;?;1;Stanice (z pøepravního hlediska blíe neurèená);4;Zrušen;9;-;-;-;100560;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;266/94Sb§3;0;nezadanı;-553717,35;-1156488,759;"E17°12'32,362""";"N49°16'28,681""";;;;
330050;Bojkovice mìsto;Bojkovice mìsto z;Bojkovice mìsto;BOJKOVICE M.;BOJKOVM;-;-;130,769;8;Kolejová skupina stanice nebo jiného DVM;1;Aktivní;9;'230242';-;-;100560;100487;Valašské Meziøíèí;316000;Ostrava;Stát;S;720;Zlínskı;-512551,48;-1187176,697;"E17°48'39,757""";"N49°2'7,214""";Bojkovice;Bojkovice;2;Redukované informování
330126;Blatec;Blatec;Blatec;BLATEC;BLATEC;BTC;BTC;92,760;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;'2201G1';-;-;100560;100487;Valašské Meziøíèí;316000;Ostrava;Stát;S;710;Olomouckı;-548263,266;-1129000,229;"E17°14'46,101""";"N49°31'31,672""";Blatec;Blatec;1;Plné informování
330142;Albrechtice u Èeského Tìšína;Albrechtice u Èeského Tìšína;Albrechtice u È.T.;ALBR. U C.T.;ALCEUCT;ACT;ACT;10,688;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;'2521B1';-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-453663,311;-1107765,563;"E18°31'27,619""";"N49°47'33,935""";Albrechtice u Èeského Tìšína;Albrechtice u Èeského Tìšína;1;Plné informování
330159;Adamov;Adamov;Adamov;ADAMOV;ADAMOV;ADV;ADV;171,191;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;'2002D1';-;-;100560;100057;Brno;315002;Brno;Stát;S;640;Jihomoravskı;-592971,273;-1150093,486;"E16°39'47,514""";"N49°17'43,495""";Adamov;Adamov;1;Plné informování
330225;Nemilany;Nemilany;AHr Nemilany z;NEMILANY;NEMILAN;-;-;96,633;37;Automatické hradlo a zastávka;1;Aktivní;9;'220114';-;-;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-548029,59;-1125305,378;"E17°14'39,452""";"N49°33'31,437""";;;2;Redukované informování
330241;Baška;Baška;Baška;BASKA;BASKA;BAS;BAS;108,343;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;'2131I1';-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;S;810;Moravskoslezskı;-466130,2;-1122538,671;"E18°22'8,875""";"N49°39'3,830""";Baška;Baška;1;Plné informování
330258;Adamov zastávka;Adamov zastávka;Adamov zast. z;ADAMOV Z.;ADAMOVZ;-;-;172,225;61;Zastávka;1;Aktivní;9;'200208';-;-;100560;100057;Brno;315002;Brno;Stát;S;640;Jihomoravskı;-593984,419;-1149248,9;"E16°38'53,182""";"N49°18'7,175""";;;2;Redukované informování
330324;Olomouc-Nové Sady;Olomouc-Nové Sady;Olomouc-Nové Sady z;OLOMOUC-N.S.;OLOMONS;-;-;98,466;61;Zastávka;1;Aktivní;9;'220114';-;-;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-546723,232;-1124078,279;"E17°15'38,100""";"N49°34'15,150""";;;2;Redukované informování
330357;Babice nad Svitavou;Babice nad Svitavou;Babice n. Svitavou z;BABICE/SVIT.;BABICNS;-;BAC;168,673;61;Zastávka;1;Aktivní;9;'200230';-;-;100560;100057;Brno;315002;Brno;Stát;S;640;Jihomoravskı;-592505,438;-1152254,535;"E16°40'21,847""";"N49°16'35,544""";;;2;Redukované informování
330423;Bludov;Bludov;Bludov;BLUDOV;BLUDOV;BLV;BLV;48,983;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;9;'1362K1';349720;Šumperk;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-565786,426;-1082244,902;"E16°56'19,569""";"N49°55'39,985""";Bludov;Bludov;1;Plné informování
330431;Zámeèek;Zámeèek;AHr Zámeèek;-;-;-;-;46,312;35;Automatické hradlo;1;Aktivní;9;'136220';-;-;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-564336,245;-1080321,306;"E16°57'21,970""";"N49°56'46,749""";;;;
330456;Bedihoš;Bedihoš;Bedihoš;BEDIHOST;BEDIHST;BED;BED;76,040;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;'2201D1';-;-;100560;100487;Valašské Meziøíèí;316000;Ostrava;Stát;S;710;Olomouckı;-554927,228;-1137697,658;"E17°9'59,693""";"N49°26'30,036""";Bedihoš;Bedihoš;1;Plné informování
330464;Bludov-Sudkov;Bludov-Sudkov;Bludov km 6,300;-;BludovS;-;-;6,305;20;Odboèení ve stanici nebo v jiném DVM;1;Aktivní;9;'1931C1';349720;Šumperk;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-566440,488;-1083193,701;"E16°55'51,861""";"N49°55'7,256""";Bludov;Bludov;;
330480;Bludov-Chromeè;Bludov-Chromeè;Bludov km 50,072;-;BludovC;-;-;50,095;20;Odboèení ve stanici nebo v jiném DVM;1;Aktivní;9;'1362L1';349720;Šumperk;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-566591,161;-1082426,665;"E16°55'40,378""";"N49°55'31,446""";Bludov;Bludov;;
330514;Odb Svitava;Odb Svitava;Odb Svitava;Odb Svitava;Odb Svt;-;-;166,166;21;Odboèka (dopravna s kolejovım rozvìtvením);1;Aktivní;9;'2002P1';330159;Adamov;100560;100057;Brno;315002;Brno;Stát;S;640;Jihomoravskı;-593002,943;-1154284,976;"E16°40'8,110""";"N49°15'28,470""";;Svitava;0;Bez nástupiš
330522;Bohutín;Bohutín;AHr Bohutín z;BOHUTIN;BOHUTIN;-;BHT;55,099;37;Automatické hradlo a zastávka;1;Aktivní;9;'136224';-;-;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-569991,492;-1079134,503;"E16°52'33,678""";"N49°57'6,037""";;;2;Redukované informování
330548;Studénka mìsto;Studénka mìsto;Studénka mìsto z;STUDENKA MES;STUDENM;-;-;1,260;61;Zastávka;1;Aktivní;9;'198102';-;-;100560;100354;Ostrava;316000;Ostrava;Stát;S;810;Moravskoslezskı;-487358,9;-1113418,059;"E18°3'54,490""";"N49°42'58,597""";;;2;Redukované informování
330555;Èelèice;Èelèice;Èelèice z;CELCICE;CELCICE;-;-;72,157;61;Zastávka;1;Aktivní;9;'220104';-;-;100560;100487;Valašské Meziøíèí;316000;Ostrava;Stát;S;710;Olomouckı;-553468,822;-1141177,894;"E17°11'28,979""";"N49°24'42,660""";;;2;Redukované informování
330621;Bludov láznì;Bludov láznì;Bludov láznì z;BLUDOV LAZNE;BLUDOVL;-;-;52,642;61;Zastávka;1;Aktivní;9;'136224';-;-;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-568208,052;-1080530,784;"E16°54'9,915""";"N49°56'27,078""";;;2;Redukované informování
330647;Bílovec;Bílovec;Bílovec;BILOVEC;BILOVEC;BIC;BIC;7,430;3;Dopravna D3;1;Aktivní;9;'1981B1';348045;Suchdol nad Odrou;100560;100354;Ostrava;316000;Ostrava;Stát;S;810;Moravskoslezskı;-490667,712;-1108987,292;"E18°'50,285""";"N49°45'11,949""";;Bílovec;2;Redukované informování
330654;Doloplazy;Doloplazy;Doloplazy z;DOLOPLAZY;DOLOPLA;-;-;64,406;61;Zastávka;1;Aktivní;9;'220116';-;-;100560;100487;Valašské Meziøíèí;316000;Ostrava;Stát;S;710;Olomouckı;-556271,834;-1147502,508;"E17°9'42,056""";"N49°21'9,871""";;;2;Redukované informování
330720;Bohdíkov;Bohdíkov;Bohdíkov;BOHDIKOV;BOHDIKV;BOD;BOD;64,414;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;9;'1362O1';349720;Šumperk;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-567321,597;-1071072,478;"E16°54'4,988""";"N50°1'34,522""";Bohdíkov;Bohdíkov;1;Plné informování
330746;Velké Albrechtice;Velké Albrechtice;Velké Albrechtice z;V.ALBRECHT.;VALBRCH;-;-;6,056;61;Zastávka;1;Aktivní;9;'198102';-;-;100560;100354;Ostrava;316000;Ostrava;Stát;S;810;Moravskoslezskı;-489498,062;-1109619,084;"E18°1'51,289""";"N49°44'54,946""";;;2;Redukované informování
330753;Pivín;Pivín;Pivín;PIVIN;PIVIN;PIV;PIV;69,418;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;'2201B1';-;-;100560;100487;Valašské Meziøíèí;316000;Ostrava;Stát;S;710;Olomouckı;-553929,432;-1143854,339;"E17°11'19,500""";"N49°23'14,963""";Pivín;Pivín;1;Plné informování
330829;Komòátka;Komòátka;Komòátka z;KOMNATKA;KOMNATK;-;KMN;62,345;61;Zastávka;1;Aktivní;9;'136228';-;-;100560;100339;Olomouc;316000;Ostrava;Stát;S;710;Olomouckı;-567810,558;-1072896,315;"E16°53'50,043""";"N50°'34,170""";;;2;Redukované informování
330845;Budišov nad Budišovkou;Budišov nad Budišovkou;Budišov n.Budišovkou;BUDISOV/BUD.;BUDISNB;BUD;BUD;39,010;3;Dopravna D3;1;Aktivní;9;'1961G1';348045;Suchdol nad Odrou;100560;100354;Ostrava;316000;Ostrava;Stát;S;810;Moravskoslezskı;-518919,802;-1101647,526;"E17°36'50,590""";"N49°47'44,732""";;Budišov nad Budišovkou;2;Redukované informování
