@lat	@lon	railway:ref	name
48.9938357	15.3491011	748228	Slavonice
49.0031275	17.1240043	346858	Kyjov zastávka
49.0042897	15.8542223	338152	Blížkovice
49.0097670	17.4365550	355552	Ostrožská Nová Ves
49.0111820	16.5950200	339754	Žabčice
49.0142929	16.3450783	358358	Rakšice
49.0151405	14.0084318	738328	Prachatice
49.0155336	15.3781009	748327	Mutišov
49.0158183	15.5815910	341859	Jemnice
49.0162210	17.1233551	346759	Kyjov
49.0182145	17.4462774	355651	Ostrožská Nová Ves lázně
49.0189331	15.8314021	350959	Vesce
49.0192726	15.1110196	744623	Nová Bystřice
49.0201601	13.7355975	751420	Lipka
49.0208984	15.6571177	350850	Třebelovice
49.0212562	17.7780071	353755	Záhorovice
49.0217900	17.6436150	365858	Uherský Brod
49.0219580	15.6067298	350652	Lhotice u Jemnice
49.0221710	17.7488730	353656	Nezdenice
49.0224183	16.9649329	366054	Uhřice u Kyjova
49.0239234	15.6872263	350751	Rácovice
49.0296604	15.1376726	744524	Albeř
49.0300250	17.7237910	366252	Šumice
49.0324707	14.4201410	733022	Hluboká nad Vltavou
49.0326200	17.3751127	352054	Nedakonice
49.0326234	17.6200438	365957	Havřice
49.0327831	16.6172053	370759	Židlochovice
49.0328353	17.6851927	366153	Újezdec u Luhačovic
49.0331890	18.0529970	371856	Vlárský průsmyk
49.0342746	15.7252166	350157	Dědice
49.0342851	15.3748338	748426	Dolní Bolíkov
49.0344633	16.5912944	339556	Hrušovany u Brna
49.0354091	17.8114538	330050	Bojkovice město
49.0361323	17.7953879	331850	Bojkovice
49.0367578	15.7644930	350553	Jackov
49.0374620	17.8431160	331959	Pitín zastávka
49.0383155	17.4610744	346056	Kunovice zastávka
49.0427990	17.5026010	346254	Vésky
49.0443130	17.5746650	338954	Hradčovice
49.0445733	15.3979357	748525	Peč
49.0453295	15.1583741	744425	Hůrky
49.0460427	18.0352924	335455	Svatý Štěpán
49.0463841	16.3380434	351056	Moravský Krumlov
49.0464230	17.5269195	346155	Popovice u Uherského Hradiště
49.0487833	13.7641073	751321	Vimperk zastávka
49.0517311	17.4700640	345959	Kunovice
49.0526617	17.3969743	361550	Kostelany nad Moravou
49.0535460	15.4189908	748624	Urbaneč
49.0536282	17.8722652	360859	Hostětín
49.0551826	17.1190912	331751	Bohuslavice u Kyjova
49.0556817	13.7910511	751222	Vimperk
49.0565954	16.5976572	339655	Vojkovice nad Svratkou
49.0573642	15.8094737	350058	Moravské Budějovice
49.0650593	14.3622816	733121	Zliv
49.0660241	15.1577778	744326	Senotín
49.0668171	17.4572483	365759	Uherské Hradiště
49.0676430	18.0138828	335356	Bylnice
49.0685287	17.7112159	347757	Polichno
49.0741115	17.8993810	360750	Slavičín
49.0762299	17.4226991	361451	Staré Město u Uherského Hradiště
49.0770417	17.7165966	347658	Biskupice u Luhačovic
49.0784475	15.4396875	748723	Dačice město
49.0806882	17.9668906	331652	Popov
49.0823273	15.1709210	744227	Kaproun
49.0848301	16.6053119	358150	Rajhrad
49.0851419	18.0256981	334359	Brumov střed
49.0851496	16.4289856	349852	Moravské Bránice
49.0859835	15.4392042	748822	Dačice
49.0862369	15.8527341	341669	Bohušice
49.0882877	17.1131808	352559	Jestřabice
49.0896650	14.3266026	733220	Zbudov
49.0928349	13.8008633	751123	Bohumilice v Čechách
49.0942632	18.0365867	334052	Brumov
49.0943237	15.8656150	341651	Jaroměřice nad Rokytnou
49.0947194	16.4020471	349951	Ivančice letovisko
49.0962910	17.9261740	331454	Bohuslavice nad Vláří
49.0976613	13.8141031	751024	Bohumilice v Čechách zastávka
49.0979704	17.9150593	331553	Divnice
49.0980784	16.3726957	341255	Ivančice
49.0987463	17.7520761	347559	Luhačovice
49.0990898	16.3825960	341354	Ivančice město
49.1010277	18.0444214	334151	Návojná
49.1033177	16.6056388	358259	Popovice u Rajhradu
49.1064061	14.3011145	733329	Dívčice
49.1071713	16.7456655	361352	Újezd u Brna
49.1080178	15.4475874	748921	Malý Pěčín
49.1080824	16.4628769	359752	Silůvky
49.1082302	16.7335320	361253	Sokolnice-Telnice
49.1090866	13.8672947	750828	Lčovice
49.1111581	13.8291463	750927	Čkyně
49.1120656	15.1628042	744128	Kunžak-Lomy
49.1131373	17.1614748	343657	Koryčany
49.1150458	17.4651976	340257	Huštěnovice
49.1197613	16.7830233	345553	Hostěrádky-Rešov
49.1203133	15.4475971	749028	Velký Pěčín
49.1222039	15.8325500	341750	Šebkovice
49.1238404	13.8832937	750729	Malenice nad Volyňkou
49.1250102	14.2648118	733428	Záblatíčko
49.1258419	14.6056423	735126	Neplachov
49.1263901	14.0839587	737924	Bavorov
49.1309417	15.4621927	749101	Slaviboř
49.1320434	16.6568156	340752	Brno-Chrlice
49.1325823	16.8069551	345652	Zbýšov
49.1329633	17.1142264	352450	Nemotice
49.1338882	16.6062266	349456	Modřice
49.1342471	15.1348486	744029	Střížovice
49.1343224	16.4618093	362053	Radostice
49.1367305	17.0478271	335257	Nevojice
49.1398685	15.0918306	743823	Blažejov
49.1421420	17.4948900	351957	Spytihněv
49.1423727	18.0225516	366351	Valašské Klobouky
49.1434786	16.8248913	345454	Křenovice horní nádraží
49.1435693	15.1144932	743922	Malý Ratmírov
49.1435844	15.1143204	743922	Malý Ratmírov
49.1435900	15.1144162	743922	Malý Ratmírov
49.1442256	16.8338860	331355	Křenovice dolní nádraží
49.1448679	16.8736951	361055	Slavkov u Brna
49.1450184	16.9351583	361154	Křižanovice
49.1451243	14.1800109	737627	Vodňany
49.1457348	16.9997912	335059	Bučovice
49.1458325	15.0616897	743732	Jindřiš zastávka
49.1461582	15.4718464	749200	Radkov
49.1488962	15.0526878	743724	Jindřiš
49.1491531	16.9725705	335158	Marefy
49.1492516	17.0802495	352658	Nesovice
49.1495103	15.8258046	342956	Kojetice na Moravě
