Q9179448	Brno-Slatina	16.682022222	49.169586111	5433365
Q9264232	Frýdlant nad Ostravicí-Nová Dědina	18.3606	49.57	5433374
Q9264233	Frýdlant nad Ostravicí zastávka	18.3605	49.5851	5433384
Q9179449	Brno-Černovice	16.631206388	49.188964722	5433385
Q11830573	Pržno	18.3619	49.6169	5433394
Q25416073	Brno-Židenice	16.636151388	49.204217777	5433395
Q9264320	Fulnek	17.9126	49.7135	5433404
Q18180153	Brumov	18.036502777	49.094196388	5433405
Q66827642	Halenkov zastávka	18.141901111	49.315936944	5433412
Q9340982	Stachovice	17.931997222	49.694217777	5433414
Q66889129	Návojná	18.044433611	49.101013055	5433415
Q9209652	Domašov nad Bystřicí	17.445	49.7403	5433422
Q9295568	Háj ve Slezsku	18.0931	49.9011	5433424
Q5005700	Břeclav	16.892338	48.753586	5433425
Q9294475	Hrubá Voda-Smilov	17.4433	49.6908	5433432
Q11727174	Jilešovice	18.141380277	49.897830833	5433434
Q66828904	Brumov střed	18.025707222	49.085117222	5433435
Q18180150	Březová nad Svitavou	16.520358055	49.633283611	5433437
Q11729826	Jívová	17.4419	49.7103	5433442
Q11755592	Lhota u Opavy	18.0472	49.9072	5433444
Q18180152	Březová nad Svitavou-Dlouhá	16.5083	49.6553	5433447
Q41711020	Drahanovice	17.079891111	49.582561388	5433452
Q14435151	Havířov	18.4128	49.7914	5433454
Q18180246	Hradec nad Svitavou	16.4847	49.7003	5433457
Q24948476	Havířov střed	18.440542222	49.787821666	5433461
Q41711061	Slatinice	17.108968611	49.567153888	5433462
Q9352034	Šenov	18.37	49.7764	5433464
Q25411941	Jankovice	17.622938055	49.35606	5433465
Q56703496	Moravská Chrastová	16.524534444	49.623016666	5433467
Q9210630	Drahotuše	17.682275833	49.552429166	5433472
Q9286785	Havířov-Suchá	18.4606	49.7906	5433474
Q19400478	Bzenec-Olšovec	17.294239166	48.970485555	5433475
Q18180535	Svitavy-Lány	16.483261111	49.735454444	5433477
Q9281630	Grygov	17.3055685	49.5341072	5433482
Q9347765	Horní Suchá	18.4881	49.7931	5433484
Q18170854	Břežany	16.367515555	48.873065833	5433485
Q66889152	Halenkov	18.1538525	49.322326666	5433492
Q9293125	Hladké Životice	17.985050277	49.6779175	5433494
Q18613950	Pravice	16.370223888	48.848716666	5433495
Q66889136	Huslenky	18.09227	49.303127222	5433502
Q9293153	Hlučín	18.1939	49.9008	5433504
Q18180154	Bučovice	16.999486944	49.145740555	5433505
Q66889137	Huslenky zastávka	18.119670833	49.309383333	5433512
