SR70;Èíslo;Tarifní název;Název 35;Název 20;Název 12;Název 7;Název 3;Zkratka;Km poloha;Kvalifikátor;Kvalifikátor-Popis;Stav;Stav-Popis;Obsazení;TUDU;DDR;DDR-Popis;OOØ;PO;PO-Popis;OØ;OØ-Popis;Vlastník;Provozovatel;Kraj;Kraj-Popis;JTSK Y;JTSK X;GPS X;GPS Y;Dopr. uzel;
744524;74452400;Albeø;Albeø;Albeø;ALBER;ALBER;-;-;30,192;3;Dopravna D3;1;Aktivní;8;1841I1;743625;Jindøichùv Hradec;0;100446;Tábor;-;nezadaná;JHMD;JHMD;310;Jihoèeskı;-706622,024;-1166063,525;"E15°08'27,393""";"N49°02'00,330""";;-1
330142;33014200;Albrechtice u Èeského Tìšína;Albrechtice u Èeského Tìšína;Albrechtice u È.T.;ALBR. U C.T.;ALCEUCT;ACT;ACT;10,688;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;2521B1;-;-;100560;100107;Èeskı Tìšín;316000;Ostrava;Stát;SDC;810;Moravskoslezskı;-453663,311;-1107765,563;"E18°31'27,619""";"N49°47'33,935""";;-1
343046;34304600;Amalín;Amalín;Amalín z;AMALIN;AMALIN;-;-;10,263;61;Zastávka;1;Aktivní;9;139104;-;-;100560;100354;Ostrava;316000;Ostrava;Stát;SDC;810;Moravskoslezskı;-510995,075;-1055437,827;"E17°39'48,896""";"N50°12'57,774""";;-1
349175;34917500;Anenská Studánka;Anenská Studánka;Anenská Studánka z;AN.STUDANKA;ANENSST;-;-;70,817;61;Zastávka;1;Aktivní;9;191122;-;-;100560;100081;Èeská Tøebová;314005;Hradec Králové;Stát;SDC;530;Pardubickı;-593956,491;-1087440,839;"E16°33'23,610""";"N49°51'16,431""";;-1
550426;55042600;Antonínov;Antonínov;Antonínov z;ANTONINOV;ANTONIN;-;-;5,498;61;Zastávka;1;Aktivní;9;168104;-;-;100545;100255;Liberec;314005;Hradec Králové;Stát;SDC;510;Libereckı;-674515,479;-975276,89;"E15°14'58,072""";"N50°46'17,465""";;-1
382184;38218400;ArcelorMittal Ostrava, nádr.Vh.-Vd.;ArcelorMittal Ostrava nádr. Vh-Vd;AMO, nádraí Vh-Vd;-;AMVH;-;-;8,6;20;Odboèení ve stanici nebo v jiném DVM;1;Aktivní;9;2132DI;-;-;100560;100354;Ostrava;316000;Ostrava;266/94Sb§3;266/94Sb§3;810;Moravskoslezskı;-470266,316;-1106026,647;"E18°17'33,168""";"N49°47'44,991""";;-1
799981;79998100;ARES3;ARES3;ARES3;-;-;-;-;?;66;Cestovní kanceláø (vydávající jízdní doklady ED);1;Aktivní;9;-;-;-;0;Neurèenı;Neurèenı;-;nezadaná;266/94Sb§3;266/94Sb§3;110;Hlavní mìsto Praha;-741892,36;-1042624,656;"E14°25'59,574""";"N50°05'31,373""";;-1
730051;73005100;Aš;Aš;Aš;AS;AS;ASH;ASH;27,526;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;9;0221C1;740050;Františkovy Láznì;100552;100198;Karlovy Vary;313007;Ústí nad Labem;Stát;SDC;410;Karlovarskı;-897683,687;-1005684,281;"E12°12'00,447""";"N50°12'32,083""";;-1
730150;73015000;Aš mìsto;Aš mìsto;Aš mìsto;AS MESTO;ASM;-;ASH ME;2,023;3;Dopravna D3;1;Aktivní;9;0222B1;-;-;100552;100198;Karlovy Vary;313007;Ústí nad Labem;Stát;SDC;410;Karlovarskı;-898668,441;-1004388,958;"E12°11'00,625""";"N50°13'08,140""";;-1
730259;73025900;Aš pøedmìstí;Aš pøedmìstí;Aš pøedmìstí z;AS PREDMESTI;ASPR;-;ASH PR;3,65;61;Zastávka;1;Aktivní;9;22204;-;-;100552;100198;Karlovy Vary;313007;Ústí nad Labem;Stát;SDC;410;Karlovarskı;-899134,308;-1003144,322;"E12°10'27,020""";"N50°13'45,360""";;-1
700054;70005400;Aš státní hranice;Aš st.hr.;Aš st.hr.;AS ST.HR.;ASSH;-;-;29,585;91;Státní hranice;1;Aktivní;9;22106;-;-;100552;100198;Karlovy Vary;313007;Ústí nad Labem;Stát;SDC;410;Karlovarskı;-899482,166;-1004970,969;"E12°10'25,025""";"N50°12'45,189""";;-1
330357;33035700;Babice nad Svitavou;Babice nad Svitavou;Babice n. Svitavou z;BABICE/SVIT.;BABICNS;-;BAC;168,64;61;Zastávka;1;Aktivní;9;200206;-;-;100560;100057;Brno;315002;Brno;Stát;SDC;640;Jihomoravskı;-592505,438;-1152254,535;"E16°40'21,847""";"N49°16'35,544""";;-1
350322;35032200;Babice u Šternberka;Babice u Šternberka;Babice u Šternb. z;BABICE U ST.;BABCUST;-;-;2,615;61;Zastávka;1;Aktivní;9;136202;-;-;100560;100339;Olomouc;317008;Olomouc;Stát;SDC;710;Olomouckı;-544276,896;-1105286,274;"E17°16'06,859""";"N49°44'28,284""";;-1
580431;58043100;Babín odboèka;Babín odb.;Odb Babín;BABIN ODB.;BABODB;BAB;BAB;319,131;21;Odboèka (dopravna s kolejovım rozvìtvením);1;Aktivní;1;1191J1;-;-;100545;100222;Kolín;311001;Praha;Stát;SDC;210;Støedoèeskı;-694502,323;-1039600,744;"E15°05'05,041""";"N50°10'30,652""";;-1
747956;74795600;Babylon;Babylon;Babylon z;BABYLON;BABYLON;-;-;176,171;61;Zastávka;1;Aktivní;9;30128;-;-;100545;100388;Plzeò;312009;Plzeò;Stát;SDC;320;Plzeòskı;-864726,219;-1102322,553;"E12°52'06,759""";"N49°23'57,174""";;-1
563262;56326200;Bahno;Bahno;Bahno z;BAHNO;BAHNO;-;-;15,57;61;Zastávka;1;Aktivní;9;175108;-;-;100545;100222;Kolín;311001;Praha;Stát;SDC;210;Støedoèeskı;-689211,371;-1075013,635;"E15°13'14,031""";"N49°51'55,323""";;-1
543611;54361100;Bakov nad Jizerou;Bakov nad Jizerou;Bakov nad Jizerou;BAKOV/JIZ.;BAKOVNJ;BNJ;BNJ;82,065;1;Stanice (z pøepravního hlediska blíe neurèená);1;Aktivní;1;0901Q1;-;-;100545;100255;Liberec;314005;Hradec Králové;Stát;SDC;210;Støedoèeskı;-701685,528;-1005356,569;"E14°55'22,264""";"N50°28'19,878""";;-1
543710;54371000;Bakov nad Jizerou mìsto;Bakov nad Jizerou mìsto;Bakov n.Jiz. mìsto z;BAKOV/JIZ.M.;BAKVNJM;-;-;83,47;61;Zastávka;1;Aktivní;9;90134;-;-;100545;100255;Liberec;314005;Hradec Králové;Stát;SDC;210;Støedoèeskı;-700437,447;-1004758,128;"E14°56'21,096""";"N50°28'44,316""";;-1
